Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
ابدأ من حيث أنت دفتر يوميات للاستكشاف الذاتي,1,4.9,0.00099,‎ميرا ليه باتل‎,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/459105.jpg",1
قاموس الاطفال المصور 2000 كلمة للاطفال من سن سبع سنوات الى ثماني سنوات,3,0.0,0.0,‎سونال بهارارا‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/352641.jpg",1
أنا أحب حيوانات المزرعة,1,0.0,0.0,Unknown,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/341792.jpg",1
أنا أحب الحيوانات البرية,1,0.0,0.0,Unknown,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/341793.jpg",1
المس واستشعر الحيوانات من حولنا,1,0.0,0.0,‎سلسلة اصدقائى الظرفاء‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/360461.jpg",1
المس واستشعر صغار الحيوانات,1,0.0,0.0,‎سلسلة اصدقائى الظرفاء‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/360462.jpg",1
المس واستشعر حيوانات المزرعة,1,0.0,0.0,‎سلسلة اصدقائى الظرفاء‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/360463.jpg",1
المس واستشعر الحيوانات البرية,1,0.0,0.0,‎سلسلة اصدقائى الظرفاء‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/360464.jpg",1
من أنا ؟ القطة,1,0.0,0.0,‎سلسلة من أنا‎,كتاب فلين,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/362138.jpg",1
من أنا ؟ الاسد,1,0.0,0.0,‎سلسلة من أنا‎,كتاب فلين,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/362139.jpg",1
