,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
48,Øİá ÇáãÎ ÇáßÇãá 12 ÇÓÊÑÇÊíÌíÉ ËæÑíÉ ááÚäÇíÉ ÈÇáãÎ ÇáäÇãí,33,5,(3 reviews),ıÊíäÇ ÈÇíä ÈÑÇíÓæä ı/ı ÏÇäíÇá Ìíå ÓíÌáı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/456797.jpg"
49,ßÊÇÈ ÇáÊáæíä ááßÈÇÑ ÑÓæãÇÊ ÊÓÇÚÏß Úáì ÇáÊÎáÕ ãä ÇáÊæÊÑ,45,5,(3 reviews),ıÇÕÏÇÑÇÊ ãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Best Sellers,, Crafts & Hobbies,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/457900.jpg"
50,ÇáÚÌáÇÊ ÇáãÊÍÑßÉ ÓíÇÑÉ ÇáãØÇİí,25,5,(2 reviews),ıÓáÓáÉ ÇáÚÌáÇÊ ÇáãÊÍÑßÉı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/458622.jpg"
51,ÍßÇíÇÊ ÇáÇÍáÇã ÇáÓÚíÏÉ ßäÒ ãä ÍßÇíÇÊ ÇáÇØİÇá,49,5,(2 reviews),ını/ıaı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/454518.jpg"
52,ÍßÇíÇÊ ÇáÎãÓ ÏŞÇÆŞ ŞÕÕ ãÇ ŞÈá Çáäæã ŞÕÕ áØíİÉ ÊÓÇÚÏ Úáì Çáäæã,25,4,(2 reviews),ıÓáÓáÉ ÍßÇíÇÊ ÇáÎãÓ ÏŞÇÆŞı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429642.jpg"
53,ÍßÇíÇÊ ãÇ ŞÈá Çáäæã 7 ÍßÇíÇÊ ŞÈá Çáäæã,25,3.5,(2 reviews),ıãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429643.jpg"
54,501 ÔíÁ áÊÈÍËí ÚäåÇ ÃÔíÇÁ ãËíÑÉ áÊÈÍËí ÚäåÇ æÊÍÏÏí ãßÇäåÇ 3 ÃÑÇäÈ,25,5,(2 reviews),ıãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429647.jpg"
55,ãä ÌíÏ Çáì ÚÙíã,72,5,(4 reviews),ıÌíã ßæáíäÒı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Business & Management,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/442111.jpg"
56,(ÃäÇ ÃÓãÚ ÃÕÏŞÇÆí ãä ÇáÍíæÇäÇÊ ÇáÕÛíÑÉ (ßÊÇÈ ÕæÊí,46,5,(2 reviews),ıÓáÓáÉ ÃäÇ ÃÓãÚı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/441356.jpg"
57,(ÃäÇ ÃÓãÚ ÍíæÇäÇÊ ÇáãÒÑÚÉ ÇáÕÛíÑÉ (ßÊÇÈ ÕæÊí,45,5,(3 reviews),ıÓáÓáÉ ÃäÇ ÃÓãÚı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/441357.jpg"
58,Íæá ÇáÚÇáã İí 80 íæãÇ ßáÇÓíßíÇÊ ãÕæÑÉ,29,5,(2 reviews),ıÌæá İíÑäı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/5/1/0/25100dac6fb29358abcffa3dfbe45156717da9f0_589543.jpg"
59,ßä ŞæíÇ,28,4.8,(4 reviews),ıãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/510042.jpg"
60,ããíÒ ÈÇáÇÕİÑ,85,5,(2 reviews),ıÑæÈä ÔÇÑãÇı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/515288.jpg"
61,ŞÖÇíÇ ÔíÑáæß åæáãÒ,32,5,(2 reviews),ıÂÑËÑ ßæäÇä Ïæíáı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502658.jpg"
